currency,frequency,year,month_from,month_to,income_from,income_to,rate_percent,deduct_amount,aids_levy_percent
ZWG,Annual,2025,1,12,336001.0,672000.0,30.0,28560.0,3.0
ZWG,Annual,2025,1,12,672001.0,1008000.0,35.0,62160.0,3.0
ZWG,Daily,2025,1,12,0.0,33600.0,0.0,0.0,3.0
ZWG,Daily,2025,1,12,92.06,276.16,20.0,18.41,3.0
ZWG,Daily,2025,1,12,276.17,920.55,25.0,32.22,3.0
ZWG,Daily,2025,1,12,646.17,1938.46,20.0,129.23,3.0
ZWG,Daily,2025,1,12,920.56,1841.1,30.0,78.25,3.0
ZWG,Daily,2025,1,12,1292.35,3876.92,20.0,258.46,3.0
ZWG,Daily,2025,1,12,1841.11,2761.64,35.0,170.3,3.0
ZWG,Daily,2025,1,12,1938.48,6461.54,25.0,226.15,3.0
ZWG,Daily,2025,1,12,2800.01,8400.0,20.0,560.0,3.0
ZWG,Daily,2025,1,12,3876.96,12923.08,25.0,452.31,3.0
ZWG,Daily,2025,1,12,6461.56,12923.08,30.0,549.23,3.0
ZWG,Daily,2025,1,12,8400.01,28000.0,25.0,980.0,3.0
ZWG,Daily,2025,1,12,12923.1,19384.62,35.0,1195.38,3.0
ZWG,Daily,2025,1,12,12923.12,25846.15,30.0,1098.46,3.0
ZWG,Daily,2025,1,12,25846.19,38769.23,35.0,2390.77,3.0
ZWG,Daily,2025,1,12,28000.01,56000.0,30.0,2380.0,3.0
ZWG,Daily,2025,1,12,33601.0,100800.0,20.0,6720.0,3.0
ZWG,Daily,2025,1,12,56000.01,84000.0,35.0,5180.0,3.0
ZWG,Daily,2025,1,12,100801.0,336000.0,25.0,11760.0,3.0
ZWG,Daily,2025,1,12,336001.0,672000.0,30.0,28560.0,3.0
ZWG,Daily,2025,1,12,672001.0,1008000.0,35.0,62160.0,3.0
ZWG,Daily,2025,1,12,,646.15,0.0,0.0,3.0
ZWG,Daily,2025,1,12,,1292.31,0.0,0.0,3.0
ZWG,Fortnightly,2025,1,12,0.0,33600.0,0.0,0.0,3.0
ZWG,Fortnightly,2025,1,12,1292.35,3876.92,20.0,258.46,3.0
ZWG,Fortnightly,2025,1,12,2800.01,8400.0,20.0,560.0,3.0
ZWG,Fortnightly,2025,1,12,3876.96,12923.08,25.0,452.31,3.0
ZWG,Fortnightly,2025,1,12,8400.01,28000.0,25.0,980.0,3.0
ZWG,Fortnightly,2025,1,12,12923.12,25846.15,30.0,1098.46,3.0
ZWG,Fortnightly,2025,1,12,25846.19,38769.23,35.0,2390.77,3.0
ZWG,Fortnightly,2025,1,12,28000.01,56000.0,30.0,2380.0,3.0
ZWG,Fortnightly,2025,1,12,33601.0,100800.0,20.0,6720.0,3.0
ZWG,Fortnightly,2025,1,12,56000.01,84000.0,35.0,5180.0,3.0
ZWG,Fortnightly,2025,1,12,100801.0,336000.0,25.0,11760.0,3.0
ZWG,Fortnightly,2025,1,12,336001.0,672000.0,30.0,28560.0,3.0
ZWG,Fortnightly,2025,1,12,672001.0,1008000.0,35.0,62160.0,3.0
ZWG,Fortnightly,2025,1,12,,1292.31,0.0,0.0,3.0
ZWG,Monthly,2025,1,12,0.0,33600.0,0.0,0.0,3.0
ZWG,Monthly,2025,1,12,2800.01,8400.0,20.0,560.0,3.0
ZWG,Monthly,2025,1,12,8400.01,28000.0,25.0,980.0,3.0
ZWG,Monthly,2025,1,12,28000.01,56000.0,30.0,2380.0,3.0
ZWG,Monthly,2025,1,12,33601.0,100800.0,20.0,6720.0,3.0
ZWG,Monthly,2025,1,12,56000.01,84000.0,35.0,5180.0,3.0
ZWG,Monthly,2025,1,12,100801.0,336000.0,25.0,11760.0,3.0
ZWG,Monthly,2025,1,12,336001.0,672000.0,30.0,28560.0,3.0
ZWG,Monthly,2025,1,12,672001.0,1008000.0,35.0,62160.0,3.0
ZWG,Weekly,2025,1,12,0.0,33600.0,0.0,0.0,3.0
ZWG,Weekly,2025,1,12,646.17,1938.46,20.0,129.23,3.0
ZWG,Weekly,2025,1,12,1292.35,3876.92,20.0,258.46,3.0
ZWG,Weekly,2025,1,12,1938.48,6461.54,25.0,226.15,3.0
ZWG,Weekly,2025,1,12,2800.01,8400.0,20.0,560.0,3.0
ZWG,Weekly,2025,1,12,3876.96,12923.08,25.0,452.31,3.0
ZWG,Weekly,2025,1,12,6461.56,12923.08,30.0,549.23,3.0
ZWG,Weekly,2025,1,12,8400.01,28000.0,25.0,980.0,3.0
ZWG,Weekly,2025,1,12,12923.1,19384.62,35.0,1195.38,3.0
ZWG,Weekly,2025,1,12,12923.12,25846.15,30.0,1098.46,3.0
ZWG,Weekly,2025,1,12,25846.19,38769.23,35.0,2390.77,3.0
ZWG,Weekly,2025,1,12,28000.01,56000.0,30.0,2380.0,3.0
ZWG,Weekly,2025,1,12,33601.0,100800.0,20.0,6720.0,3.0
ZWG,Weekly,2025,1,12,56000.01,84000.0,35.0,5180.0,3.0
ZWG,Weekly,2025,1,12,100801.0,336000.0,25.0,11760.0,3.0
ZWG,Weekly,2025,1,12,336001.0,672000.0,30.0,28560.0,3.0
ZWG,Weekly,2025,1,12,672001.0,1008000.0,35.0,62160.0,3.0
ZWG,Weekly,2025,1,12,,646.15,0.0,0.0,3.0
ZWG,Weekly,2025,1,12,,1292.31,0.0,0.0,3.0
