hsn_code,description
16024,OF SWINE
160241,HAMS AND CUTS THEREOF
16024100,HAMS AND CUTS THEREOF
160242,SHOULDERS AND CUTS THEREOF
16024200,SHOULDERS AND CUTS THEREOF
160249,"OTHER, INCLUDING MIXTURES"
16024900,"OTHER, INCLUDING MIXTURES"
160250,"OF BOVINE ANIMALS – OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL, BLOOD OR INSECTS"
16025000,"OF BOVINE ANIMALS – OTHER PREPARED OR PRESERVED MEAT, MEAT OFFAL, BLOOD OR INSECTS"
160290,"OTHER, INCLUDING PREPARATIONS OF BLOOD OF ANY ANIMAL"
16029000,"OTHER, INCLUDING PREPARATIONS OF BLOOD OF ANY ANIMAL"
1603,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
160300,"EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
16030010,EXTRACTS OF MEAT
16030090,"OTHER – EXTRACTS AND JUICES OF MEAT, FISH OR CRUSTACEANS, MOLLUSCS OR OTHER AQUATIC INVERTEBRATES"
1604,PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS
16041,"FISH, WHOLE OR IN PIECES, BUT NOT MINCED"
160411,SALMON
16041110,POTTED OR TINNED
16041190,OTHER – SALMON
160412,HERRINGS
16041210,POTTED OR TINNED
16041290,OTHER – HERRINGS
160413,"SARDINES, SARDENELLA AND BRISLING OR SPRATS"
16041310,POTTED OR TINNED
16041390,"OTHER – SARDINES, SARDENELLA AND BRISLING OR SPRATS"
160414,"TUNAS, SKIPJACK TUNA AND BONITO (SARDA SPP.)"
16041410,POTTED OR TINNED
16041490,"OTHER – TUNAS, SKIPJACK TUNA AND BONITO (SARDA SPP.)"
160415,MACKEREL
16041510,POTTED OR TINNED
16041590,OTHER – MACKEREL
160416,ANCHOVIES
16041600,ANCHOVIES
160417,EELS
16041710,POTTED OR TINNED
16041790,OTHER – EELS
160418,SHARK FINS
16041810,POTTED OR TINNED
16041890,OTHER – SHARK FINS
160419,OTHER – PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS
16041910,POTTED OR TINNED
16041990,OTHER – PREPARED OR PRESERVED FISH; CAVIAR AND CAVIAR SUBSTITUTES PREPARED FROM FISH EGGS
160420,OTHER PREPARED OR PRESERVED FISH
16042011,OF FRESHWATER – OTHER PREPARED OR PRESERVED FISH
16042012,POTTED OR TINNED OTHER THAN OF FRESHWATER
16042019,"OTHER, OTHER THAN POTTED OR TINNED"
16042021,OF FRESHWATER – OTHER PREPARED OR PRESERVED FISH
16042022,POTTED OR TINNED OTHER THAN OF FRESHWATER
16042029,"OTHER, OTHER THAN POTTED OR TINNED"
16043,CAVIAR AND CAVIAR SUBSTITUTES
160431,CAVIAR
16043100,CAVIAR
160432,CAVIAR SUBSTITUTES
16043200,CAVIAR SUBSTITUTES
1605,"CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED"
160510,CRAB
16051010,OF FRESH WATER – CRAB
16051091,POTTED OR TINNED
16051099,OTHER – CRAB
16052,SHRIMPS AND PRAWNS
160521,NOT IN AIRTIGHT CONTAINER
16052110,OF FRESH WATER – NOT IN AIRTIGHT CONTAINER
16052191,POTTED OR TINNED
16052199,OTHER – NOT IN AIRTIGHT CONTAINER
160529,OTHER:
16052900,OTHER – OTHER:
160530,LOBSTER
16053010,OF FRESH WATER – LOBSTER
16053091,POTTED OR TINNED
16053099,OTHER – LOBSTER
160540,OTHER CRUSTACEANS
16054010,OF FRESH WATER – OTHER CRUSTACEANS
16054091,POTTED OR TINNED
16054099,OTHER – OTHER CRUSTACEANS
16055,MOLLUSCS
160551,OYSTERS
16055110,OF FRESH WATER – OYSTERS
16055191,POTTED OR TINNED
16055199,OTHER – OYSTERS
160552,"SCALLOPS, INCLUDING QUEEN SCALLOPS"
16055210,"OF FRESH WATER – SCALLOPS, INCLUDING QUEEN SCALLOPS"
16055291,POTTED OR TINNED
16055299,"OTHER – SCALLOPS, INCLUDING QUEEN SCALLOPS"
160553,MUSSELS
16055310,OF FRESH WATER – MUSSELS
16055391,POTTED OR TINNED
16055399,OTHER – MUSSELS
160554,CUTTLE FISH AND SQUID
16055410,OF FRESH WATER – CUTTLE FISH AND SQUID
16055491,POTTED OR TINNED
16055499,OTHER – CUTTLE FISH AND SQUID
160555,OCTOPUS
16055510,OF FRESH WATER – OCTOPUS
16055591,POTTED OR TINNED
16055599,OTHER – OCTOPUS
160556,"CLAMS, COCKLES AND ARKSHELLS"
16055610,"OF FRESH WATER – CLAMS, COCKLES AND ARKSHELLS"
16055691,POTTED OR TINNED
16055699,"OTHER – CLAMS, COCKLES AND ARKSHELLS"
160557,ABALONE
16055710,OF FRESH WATER – ABALONE
16055791,POTTED OR TINNED
16055799,OTHER – ABALONE
160558,"SNAILS, OTHER THAN SEA SNAILS:"
16055810,"OF FRESH WATER – SNAILS, OTHER THAN SEA SNAILS:"
16055891,POTTED OR TINNED
16055899,"OTHER – SNAILS, OTHER THAN SEA SNAILS:"
160559,"OTHER – CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED"
16055910,"OF FRESH WATER – CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED"
16055991,POTTED OR TINNED
16055999,"OTHER – CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED"
16056,OTHER AQUATIC INVERTEBRATES
160561,SEA CUCUMBERS
16056110,OF FRESH WATER – SEA CUCUMBERS
16056191,POTTED OR TINNED
16056199,OTHER – SEA CUCUMBERS
160562,SEA URCHINS
16056210,POTTED OR TINNED
16056290,OTHER – SEA URCHINS
160563,JELLYFISH
16056310,OF FRESH WATER – JELLYFISH
16056391,POTTED OR TINNED
16056399,OTHER – JELLYFISH
160569,"OTHER – CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED"
16056910,"OF FRESH WATER – CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED"
16056991,POTTED OR TINNED
16056999,"OTHER – CRUSTACEANS, MOLLUSCS AND OTHER AQUATIC INVERTEBRATES, PREPARED OR PRESERVED"
17,SUGARS AND SUGAR CONFECTIONERY
1701,"CANE OR BEET SUGAR AND CHEMICALLY PURE SUCROSE, IN SOLID FORM"
17011,RAW SUGAR NOT CONTAINING ADDED FLAVOURING OR COLOURING MATTER
170112,BEET SUGAR
17011200,BEET SUGAR
170113,CANE SUGAR SPECIFIED IN SUBHEADING NOTE 2 TO THIS CHAPTER
17011300,CANE SUGAR SPECIFIED IN SUBHEADING NOTE 2 TO THIS CHAPTER
170114,OTHER CANE SUGAR
17011400,OTHER CANE SUGAR
17019,OTHER
170191,CONTAINING ADDED FLAVOURING OR COLOURING MATTER
17019100,CONTAINING ADDED FLAVOURING OR COLOURING MATTER
170199,"OTHER – CANE OR BEET SUGAR AND CHEMICALLY PURE SUCROSE, IN SOLID FORM"
17019900,"OTHER – CANE OR BEET SUGAR AND CHEMICALLY PURE SUCROSE, IN SOLID FORM"
1702,"OTHER SUGARS, INCLUDING CHEMICALLY PURE LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE, IN SOLID FORM; SUGAR SYRUPS NOT CONTAINING ADDED FLAVOURING OR COLOURING MATTER; ARTIFICIAL HONEY, WHETHER OR NOT MIXED WITH NATURAL HONEY; CARAMEL"
17021,LACTOSE AND LACTOSE SYRUP
170211,"CONTAINING BY MASS 99 PER CENT OR MORE LACTOSE EXPRESSED AS ANHYDROUS LACTOSE, CALCULATED ON THE DRY MATTER"
17021110,LACTOSE
17021190,"OTHER – CONTAINING BY MASS 99 PER CENT OR MORE LACTOSE EXPRESSED AS ANHYDROUS LACTOSE, CALCULATED ON THE DRY MATTER"
170219,"OTHER – OTHER SUGARS, INCLUDING CHEMICALLY PURE LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE, IN SOLID FORM; SUGAR SYRUPS NOT CONTAINING ADDED FLAVOURING OR COLOURING MATTER; ARTIFICIAL HONEY, WHETHER OR NOT MIXED WITH NATURAL HONEY; CARAMEL"
17021900,"OTHER – OTHER SUGARS, INCLUDING CHEMICALLY PURE LACTOSE, MALTOSE, GLUCOSE AND FRUCTOSE, IN SOLID FORM; SUGAR SYRUPS NOT CONTAINING ADDED FLAVOURING OR COLOURING MATTER; ARTIFICIAL HONEY, WHETHER OR NOT MIXED WITH NATURAL HONEY; CARAMEL"
170220,MAPLE SUGAR AND MAPLE SYRUP
17022000,MAPLE SUGAR AND MAPLE SYRUP
170230,"GLUCOSE AND GLUCOSE SYRUP, NOT CONTAINING FRUCTOSE OR CONTAINING IN THE DRY STATE LESS THAN 20 PER CENT BY MASS OF FRUCTOSE"
17023000,"GLUCOSE AND GLUCOSE SYRUP, NOT CONTAINING FRUCTOSE OR CONTAINING IN THE DRY STATE LESS THAN 20% BY WEIGHT OF FRUCTOSE"
170240,"GLUCOSE AND GLUCOSE SYRUP, CONTAINING IN THE DRY STATE AT LEAST 20 PER CENT OR MORE BUT LESS THAN 50 PER CENT OF FRUCTOSE (EXCLUDING INVERT SUGAR)"
17024000,"GLUCOSE AND GLUCOSE SYRUP, CONTAINING IN THE DRY STATE AT LEAST 20% BUT LESS THAN 50% BY WEIGHT OF FRUCTOSE, EXCLUDING INVERT SUGAR"
170250,CHEMICALLY PURE FRUCTOSE
17025000,CHEMICALLY PURE FRUCTOSE
170260,"OTHER FRUCTOSE AND FRUCTOSE SYRUP, CONTAINING IN THE DRY STATE MORE THAN 50 PER CENT BY MASS OF FRUCTOSE (EXCLUDING INVERT SUGAR)"
17026000,"OTHER FRUCTOSE AND FRUCTOSE SYRUP, CONTAINING IN THE DRY STATE MORE THAN 50% BY WEIGHT OF FRUCTOSE, EXCLUDING INVERT SUGAR"
170290,"OTHER, INCLUDING INVERT SUGAR AND OTHER SUGAR AND SUGAR SYRUP BLENDS CONTAINING IN THE DRY STATE 50 PER CENT BY MASS OF FRUCTOSE"
17029000,"OTHER, INCLUDING INVERT SUGAR AND OTHER SUGAR AND SUGAR SYRUP BLENDS CONTAINING IN THE DRY STATE 50% BY WEIGHT OF FRUCTOSE"
1703,MOLASSES RESULTING FROM THE EXTRACTION OR REFINING OF SUGAR
170310,CANE MOLASSES
17031000,CANE MOLASSES
170390,OTHER – MOLASSES RESULTING FROM THE EXTRACTION OR REFINING OF SUGAR
17039000,OTHER – MOLASSES RESULTING FROM THE EXTRACTION OR REFINING OF SUGAR
1704,"SUGAR CONFECTIONERY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA"
170410,"CHEWING GUM, WHETHER OR NOT SUGAR-COATED"
17041000,"CHEWING GUM, WHETHER OR NOT SUGAR-COATED"
170490,"OTHER – SUGAR CONFECTIONERY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA"
17049000,"OTHER – SUGAR CONFECTIONERY (INCLUDING WHITE CHOCOLATE), NOT CONTAINING COCOA"
18,COCOA AND COCOA PREPARATIONS
1801,"COCOA BEANS, WHOLE OR BROKEN, RAW OR ROASTED"
180100,"COCOA BEANS, WHOLE OR BROKEN, RAW OR ROASTED"
18010000,"COCOA BEANS, WHOLE OR BROKEN, RAW OR ROASTED."
1802,"COCOA SHELLS, HUSKS, SKINS AND OTHER COCOA WASTE"
180200,"COCOA SHELLS, HUSKS, SKINS AND OTHER COCOA WASTE"
18020000,"COCOA SHELLS, HUSKS, SKINS AND OTHER COCOA WASTE."
1803,"COCOA PASTE, WHETHER OR NOT DEFATTED"
180310,NOT DEFATTED
18031000,NOT DEFATTED
180320,WHOLLY OR PARTLY DEFATTED
18032000,WHOLLY OR PARTLY DEFATTED
1804,"COCOA BUTTER, FAT AND OIL"
180400,"COCOA BUTTER, FAT AND OIL"
18040000,"COCOA BUTTER, FAT AND OIL."
1805,"COCOA POWDER, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
180500,"COCOA POWDER, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
18050000,"COCOA POWDER, NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER."
1806,CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA
180610,"COCOA POWDER, CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
18061000,"COCOA POWDER, CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
180620,"OTHER PREPARATIONS IN BLOCKS, SLABS OR BARS OF A MASS OF MORE THAN 2 KG OR IN LIQUID, PASTE, POWDER, GRANULAR OR OTHER BULK FORM IN CONTAINERS OR IMMEDIATE PACKINGS, OF A CONTENT EXCEEDING 2 KG"
18062000,"OTHER PREPARATIONS IN BLOCKS, SLABS OR BARS WEIGHING MORE THAN 2 KG OR IN LIQUID, PASTE, POWDER, GRANULAR OR OTHER BULK FORM IN CONTAINERS OR IMMEDIATE PACKINGS, OF CONTENT EXCEEDING 2 KG"
18063,"OTHER, IN BLOCKS, SLABS OR BARS"
180631,FILLED
18063100,FILLED
180632,NOT FILLED
18063200,NOT FILLED
180690,OTHER – CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA
18069000,OTHER – CHOCOLATE AND OTHER FOOD PREPARATIONS CONTAINING COCOA
19,"PREPARATIONS OF CEREALS, FLOUR, STARCH OR MILK; PASTRYCOOKS' PRODUCTS"
1901,"MALT EXTRACT; FOOD PREPARATIONS OF FLOUR, GROATS, MEAL STARCH OR MALT EXTRACT, NOT CONTAINING COCOA OR CONTAINING LESS THAN 40 PER CENT BY MASS OF COCOA CALCULATED ON A TOTALLY DEFATTED BASIS, NOT ELSEWHERE SPECIFIED OR INCLUDED; FOOD PREPARATIONS OF GOODS OF HEADINGS 04.01 TO 04.04, NOT CONTAINING COCOA OR CONTAINING LESS THAN 5 PER CENT BY MASS OF COCOA CALCULATED ON A TOTALLY DEFATTED BASIS, NOT ELSEWHERE SPECIFIED OR INCLUDED"
190110,"PREPARATIONS FOR INFANT USE, PUT UP FOR RETAIL SALE"
19011000,"PREPARATIONS SUITABLE FOR INFANTS OR YOUNG CHILDREN, PUT UP FOR RETAIL SALE"
190120,"MIXES AND DOUGHS, FOR THE PREPARATION OF BAKER'S WARES OF HEADING 19.05"
19012000,MIXES AND DOUGHS FOR THE PREPARATION OF BAKERS’WARES OF HEADING 19.05
190190,"OTHER – MALT EXTRACT; FOOD PREPARATIONS OF FLOUR, GROATS, MEAL STARCH OR MALT EXTRACT, NOT CONTAINING COCOA OR CONTAINING LESS THAN 40 PER CENT BY MASS OF COCOA CALCULATED ON A TOTALLY DEFATTED BASIS, NOT ELSEWHERE SPECIFIED OR INCLUDED; FOOD PREPARATIONS OF GOODS OF HEADINGS 04.01 TO 04.04, NOT CONTAINING COCOA OR CONTAINING LESS THAN 5 PER CENT BY MASS OF COCOA CALCULATED ON A TOTALLY DEFATTED BASIS, NOT ELSEWHERE SPECIFIED OR INCLUDED"
19019010,"FOOD PREPARATIONS OF FLOUR, MEAL, STARCH OR MALT EXTRACT OF A KIND USED AS INFANT FOOD"
19019020,"FOOD PREPARATIONS OF FLOUR, MEAL, STARCH OR MALT EXTRACT FOR DIETETIC OR CULINARY PURPOSES, EXCLUDING PUDDING AND CAKE POWDERS"
19019090,"OTHER – MALT EXTRACT; FOOD PREPARATIONS OF FLOUR, GROATS, MEAL STARCH OR MALT EXTRACT, NOT CONTAINING COCOA OR CONTAINING LESS THAN 40 PER CENT BY MASS OF COCOA CALCULATED ON A TOTALLY DEFATTED BASIS, NOT ELSEWHERE SPECIFIED OR INCLUDED; FOOD PREPARATIONS OF GOODS OF HEADINGS 04.01 TO 04.04, NOT CONTAINING COCOA OR CONTAINING LESS THAN 5 PER CENT BY MASS OF COCOA CALCULATED ON A TOTALLY DEFATTED BASIS, NOT ELSEWHERE SPECIFIED OR INCLUDED"
1902,"PASTA, WHETHER OR NOT COOKED OR STUFFED (WITH MEAT OR OTHER SUBSTANCES) OR OTHERWISE PREPARED, SUCH AS SPAGHETTI, MACARONI, NOODLES, LASAGNE, GNOCCHI, RAVIOLI, CANNELLONI; COUSCOUS, WHETHER OR NOT PREPARED"
19021,"UNCOOKED PASTA, NOT STUFFED OR OTHERWISE PREPARED"
190211,CONTAINING EGGS
19021100,CONTAINING EGGS
190219,"OTHER – PASTA, WHETHER OR NOT COOKED OR STUFFED (WITH MEAT OR OTHER SUBSTANCES) OR OTHERWISE PREPARED, SUCH AS SPAGHETTI, MACARONI, NOODLES, LASAGNE, GNOCCHI, RAVIOLI, CANNELLONI; COUSCOUS, WHETHER OR NOT PREPARED"
19021900,"OTHER – PASTA, WHETHER OR NOT COOKED OR STUFFED (WITH MEAT OR OTHER SUBSTANCES) OR OTHERWISE PREPARED, SUCH AS SPAGHETTI, MACARONI, NOODLES, LASAGNE, GNOCCHI, RAVIOLI, CANNELLONI; COUSCOUS, WHETHER OR NOT PREPARED"
190220,"STUFFED PASTA, WHETHER OR NOT COOKED OR OTHERWISE PREPARED"
19022000,"STUFFED PASTA, WHETHER OR NOT COOKED OR OTHERWISE PREPARED"
190230,OTHER PASTA
19023000,OTHER PASTA
190240,COUSCOUS
19024000,COUSCOUS
1903,"TAPIOCA AND SUBSTITUTES THEREFOR PREPARED FROM STARCH, IN THE FORM OFFLAKES, GRAINS, PEARLS, SIFTINGS OR IN SIMILAR FORMS"
190300,"TAPIOCA AND SUBSTITUTES THEREFOR PREPARED FROM STARCH, IN THE FORM OF FLAKES, GRAINS, PEARLS, SIFTINGS OR IN SIMILAR FORMS"
19030000,"TAPIOCA AND SUBSTITUTES THEREFOR PREPARED FROM STARCH, IN THE FORM OF FLAKES, GRAINS, PEARLS, SIFTINGS OR IN SIMILAR FORMS."
1904,"PREPARED FOODS OBTAINED BY THE SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS (FOR EXAMPLE, CORN FLAKES); CEREALS (EXCLUDING MAIZE (CORN)), IN GRAIN FORM OR IN THE FORM OF FLAKES OR OTHER WORKED GRAINS (EXCEPT FLOUR GROATS AND MEAL), PRE-COOKED OR OTHERWISE PREPARED, NOT ELSEWHERE SPECIFIED OR INCLUDED"
190410,PREPARED FOODS OBTAINED BY THE SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS
19041010,CORN SNACKS AND PUFFS
19041090,OTHER – PREPARED FOODS OBTAINED BY THE SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS
190420,PREPARED FOODS OBTAINED FOR UNROASTED CEREAL FLAKES OR FROM MIXTURES OF UNROASTED CEREAL FLAKES AND ROASTED CEREAL FLAKES OR SWELLED CEREALS
19042000,PREPARED FOODS OBTAINED FROM UNROASTED CEREAL FLAKES OR FROM MIXTURES OF UNROASTED CEREAL FLAKES AND ROASTED CEREAL FLAKES OR SWELLED CEREALS
190430,BULGAR WHEAT
19043000,BULGUR WHEAT
190490,"OTHER – PREPARED FOODS OBTAINED BY THE SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS (FOR EXAMPLE, CORN FLAKES); CEREALS (EXCLUDING MAIZE (CORN)), IN GRAIN FORM OR IN THE FORM OF FLAKES OR OTHER WORKED GRAINS (EXCEPT FLOUR GROATS AND MEAL), PRE-COOKED OR OTHERWISE PREPARED, NOT ELSEWHERE SPECIFIED OR INCLUDED"
19049000,"OTHER – PREPARED FOODS OBTAINED BY THE SWELLING OR ROASTING OF CEREALS OR CEREAL PRODUCTS (FOR EXAMPLE, CORN FLAKES); CEREALS (EXCLUDING MAIZE (CORN)), IN GRAIN FORM OR IN THE FORM OF FLAKES OR OTHER WORKED GRAINS (EXCEPT FLOUR GROATS AND MEAL), PRE-COOKED OR OTHERWISE PREPARED, NOT ELSEWHERE SPECIFIED OR INCLUDED"
1905,"BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKER'S WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS"
190510,CRISPBREAD
19051000,CRISPBREAD
190520,GINGERBREAD AND THE LIKE
19052000,GINGERBREAD AND THE LIKE
19053,SWEET BISCUITS; WAFFLES AND WAFERS
190531,SWEET BISCUITS
19053100,SWEET BISCUITS
190532,WAFFLES AND WAFERS
19053200,WAFFLES AND WAFERS
190540,"RUSKS, TOASTED BREAD AND SIMILAR TOASTED PRODUCTS"
19054000,"RUSKS, TOASTED BREAD AND SIMILAR TOASTED PRODUCTS"
190590,"OTHER – BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKER'S WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS"
19059010,PLAIN BREAD
19059020,PLAIN BUNS AND ROLLS
19059090,"OTHER – BREAD, PASTRY, CAKES, BISCUITS AND OTHER BAKER'S WARES, WHETHER OR NOT CONTAINING COCOA; COMMUNION WAFERS, EMPTY CACHETS OF A KIND SUITABLE FOR PHARMACEUTICAL USE, SEALING WAFERS, RICE PAPER AND SIMILAR PRODUCTS"
20,"PREPARATIONS OF VEGETABLES, FRUIT, NUTS OR OTHER PARTS OF PLANTS"
2001,"VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS PREPARED OR PRESERVED BY VINEGAR OR ACETIC ACID"
200110,CUCUMBERS AND GHERKINS
20011000,CUCUMBERS AND GHERKINS
200190,"OTHER – VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS PREPARED OR PRESERVED BY VINEGAR OR ACETIC ACID"
20019000,"OTHER – VEGETABLES, FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS PREPARED OR PRESERVED BY VINEGAR OR ACETIC ACID"
2002,TOMATOES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID
200210,"TOMATOES, WHOLE OR IN PIECES"
20021000,"TOMATOES, WHOLE OR IN PIECES"
200290,OTHER – TOMATOES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID
20029000,OTHER – TOMATOES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID
2003,"MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID"
200310,MUSHROOMS OF THE GENUS AGARICUS
20031000,MUSHROOMS OF THE GENUS AGARICUS
200390,"OTHER – MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID"
20039000,"OTHER – MUSHROOMS AND TRUFFLES, PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID"
2004,"OTHER VEGETABLES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, FROZEN (EXCLUDING PRODUCTS OF HEADING 20.06)"
200410,POTATOES
20041000,POTATOES
200490,OTHER VEGETABLES AND MIXTURES OF VEGETABLES
20049000,OTHER VEGETABLES AND MIXTURES OF VEGETABLES
2005,"OTHER VEGETABLES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN (EXCLUDING PRODUCTS OF HEADING 20.06)"
200510,HOMOGENISED VEGETABLES
20051000,HOMOGENISED VEGETABLES
200520,POTATOES
20052000,POTATOES
200540,PEAS (PISUM SATIVUM)
20054000,PEAS (PISUM SATIVUM)
20055,"BEANS (VIGNA SPP., PHASEOLUS SPP.)"
200551,"BEANS, SHELLED"
20055100,"BEANS, SHELLED"
200559,"OTHER – OTHER VEGETABLES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN (EXCLUDING PRODUCTS OF HEADING 20.06)"
20055900,"OTHER – OTHER VEGETABLES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN (EXCLUDING PRODUCTS OF HEADING 20.06)"
200560,ASPARAGUS
20056000,ASPARAGUS
200570,OLIVES
20057000,OLIVES
200580,SWEET CORN (ZEA MAYS VAR. SACCHARATA)
20058000,SWEET CORN (ZEA MAYS VAR. SACCHARATA)
20059,OTHER VEGETABLES AND MIXTURES OF VEGETABLES
200591,BAMBOO SHOOTS
20059100,BAMBOO SHOOTS
200599,"OTHER – OTHER VEGETABLES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN (EXCLUDING PRODUCTS OF HEADING 20.06)"
20059900,"OTHER – OTHER VEGETABLES PREPARED OR PRESERVED OTHERWISE THAN BY VINEGAR OR ACETIC ACID, NOT FROZEN (EXCLUDING PRODUCTS OF HEADING 20.06)"
2006,"VEGETABLES, FRUIT, NUTS, FRUIT-PEEL AND OTHER PARTS OF PLANTS, PRESERVED BY SUGAR (DRAINED, GLACE OR CRYSTALLISED)"
200600,"VEGETABLES, FRUIT, NUTS, FRUIT-PEEL AND OTHER PARTS OF PLANTS, PRESERVED BY SUGAR (DRAINED, GLACÉ OR CRYSTALLISED)"
20060000,"VEGETABLES, FRUIT, NUTS, FRUIT-PEEL AND OTHER PARTS OF PLANTS, PRESERVED BY SUGAR (DRAINED, GLACÉ OR CRYSTALLISED)."
2007,"JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
200710,HOMOGENISED PREPARATIONS
20071000,HOMOGENISED PREPARATIONS
20079,OTHER
200791,CITRUS FRUIT
20079100,CITRUS FRUIT
200799,"OTHER – JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
20079900,"OTHER – JAMS, FRUIT JELLIES, MARMALADES, FRUIT OR NUT PUREE AND FRUIT OR NUT PASTES, BEING COOKED PREPARATIONS, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER"
2008,"FRUIT, NUTS AND OTHER EDIBLE PARTS OF PLANTS, OTHERWISE PREPARED OR PRESERVED, WHETHER OR NOT CONTAINING ADDED SUGAR OR OTHER SWEETENING MATTER OR SPIRIT, NOT ELSEWHERE SPECIFIED OR INCLUDED"
20081,"NUTS, GROUND-NUTS AND OTHER SEEDS, WHETHER OR NOT MIXED TOGETHER"
200811,GROUND-NUTS
20081100,GROUND-NUTS
200819,OTHER INCLUDING MIXTURES
20081900,"OTHER, INCLUDING MIXTURES"
200820,PINEAPPLES
20082000,PINEAPPLES
200830,CITRUS FRUIT
20083000,CITRUS FRUIT
200840,PEARS
20084000,PEARS
200850,APRICOTS
20085000,APRICOTS
200860,CHERRIES
20086000,CHERRIES
200870,"PEACHES, INCLUDING NECTARINES"
20087000,"PEACHES, INCLUDING NECTARINES"
200880,STRAWBERRIES
20088000,STRAWBERRIES
20089,"OTHER, INCLUDING MIXTURES OTHER THAN THOSE OF SUBHEADING 2008.19"
200891,PALM HEARTS
20089100,PALM HEARTS
200893,"CRANBERRIES (VACCINIUM MACROCARPON, VACCINIUM OXYCOCCOS); LINGONBERRIES (VACCINIUM VITIS-IDAEA)"
